ZIP,CARRIER,LOCALITY,STATE,RURAL
36317,10112,00,AL,U
36318,10112,00,AL,U
36319,10112,00,AL,U
36320,10112,00,AL,U
36321,10112,00,AL,U
36322,10112,00,AL,R
36323,10112,00,AL,R
36330,10112,00,AL,R
36331,10112,00,AL,R
36340,10112,00,AL,U
36343,10112,00,AL,U
36344,10112,00,AL,U
36345,10112,00,AL,U
36346,10112,00,AL,R
36349,10112,00,AL,U
36350,10112,00,AL,R
36351,10112,00,AL,R
36352,10112,00,AL,R
36353,10112,00,AL,U
36360,10112,00,AL,R
36361,10112,00,AL,R
36362,10112,00,AL,R
36370,10112,00,AL,U
36371,10112,00,AL,R
36373,10112,00,AL,R
36374,10112,00,AL,R
36375,10112,00,AL,U
36376,10112,00,AL,U
36401,10112,00,AL,B
36419,10112,00,AL,B
36420,10112,00,AL,R
36421,10112,00,AL,R
36425,10112,00,AL,B
36426,10112,00,AL,R
36427,10112,00,AL,R
36429,10112,00,AL,B
36431,10112,00,AL,B
36432,10112,00,AL,B
36435,10112,00,AL,B
36436,10112,00,AL,B
36439,10112,00,AL,B
36441,10112,00,AL,R
36442,10112,00,AL,R
36444,10112,00,AL,B
36445,10112,00,AL,B
36446,10112,00,AL,B
36449,10112,00,AL,B
36451,10112,00,AL,B
36453,10112,00,AL,R
36454,10112,00,AL,B
36455,10112,00,AL,R
36456,10112,00,AL,B
36457,10112,00,AL,B
36458,10112,00,AL,B
36460,10112,00,AL,B
36461,10112,00,AL,B
36462,10112,00,AL,B
36467,10112,00,AL,R
36470,10112,00,AL,B
36471,10112,00,AL,B
36473,10112,00,AL,B
36474,10112,00,AL,R
36475,10112,00,AL,B
36476,10112,00,AL,R
36477,10112,00,AL,R
36480,10112,00,AL,B
36481,10112,00,AL,B
36482,10112,00,AL,B
36483,10112,00,AL,R
36501,10112,00,AL,B
36502,10112,00,AL,R
36503,10112,00,AL,R
36504,10112,00,AL,R
36505,10112,00,AL,U
36507,10112,00,AL,U
36509,10112,00,AL,U
36511,10112,00,AL,R
36512,10112,00,AL,U
36513,10112,00,AL,B
36515,10112,00,AL,B
36518,10112,00,AL,B
36521,10112,00,AL,U
36522,10112,00,AL,U
36523,10112,00,AL,R
36524,10112,00,AL,B
36525,10112,00,AL,U
36526,10112,00,AL,U
36527,10112,00,AL,U
36528,10112,00,AL,R
36529,10112,00,AL,B
36530,10112,00,AL,R
36532,10112,00,AL,U
36533,10112,00,AL,U
36535,10112,00,AL,R
36536,10112,00,AL,R
36538,10112,00,AL,B
36539,10112,00,AL,B
36540,10112,00,AL,B
36541,10112,00,AL,U
36542,10112,00,AL,R
36543,10112,00,AL,R
36544,10112,00,AL,U
36545,10112,00,AL,B
36547,10112,00,AL,R
36548,10112,00,AL,B
36549,10112,00,AL,U
36550,10112,00,AL,R
36551,10112,00,AL,U
36553,10112,00,AL,B
36555,10112,00,AL,R
36556,10112,00,AL,B
36558,10112,00,AL,B
36559,10112,00,AL,U
36560,10112,00,AL,U
36561,10112,00,AL,U
36562,10112,00,AL,R
36564,10112,00,AL,U
36567,10112,00,AL,U
36568,10112,00,AL,U
36569,10112,00,AL,B
36570,10112,00,AL,B
36571,10112,00,AL,U
36572,10112,00,AL,U
36574,10112,00,AL,U
36575,10112,00,AL,U
36576,10112,00,AL,U
36577,10112,00,AL,U
36578,10112,00,AL,U
36579,10112,00,AL,R
36580,10112,00,AL,R
36581,10112,00,AL,B
36582,10112,00,AL,U
36583,10112,00,AL,B
36584,10112,00,AL,B
36585,10112,00,AL,B
36586,10112,00,AL,B
36587,10112,00,AL,U
36590,10112,00,AL,U
36601,10112,00,AL,U
36602,10112,00,AL,U
36603,10112,00,AL,U
36604,10112,00,AL,U
36605,10112,00,AL,U
36606,10112,00,AL,U
36607,10112,00,AL,U
36608,10112,00,AL,U
36609,10112,00,AL,U
36610,10112,00,AL,U
36611,10112,00,AL,U
36612,10112,00,AL,U
36613,10112,00,AL,U
36614,10112,00,AL,U
36615,10112,00,AL,U
36616,10112,00,AL,U
36617,10112,00,AL,U
36618,10112,00,AL,U
36619,10112,00,AL,U
36621,10112,00,AL,U
36622,10112,00,AL,U
36623,10112,00,AL,U
36624,10112,00,AL,U
36625,10112,00,AL,U
36626,10112,00,AL,U
36628,10112,00,AL,U
36630,10112,00,AL,U
36631,10112,00,AL,U
36633,10112,00,AL,U
36640,10112,00,AL,U
36641,10112,00,AL,U
36644,10112,00,AL,U
36652,10112,00,AL,U
36660,10112,00,AL,U
36663,10112,00,AL,U
36670,10112,00,AL,U
36671,10112,00,AL,U
36675,10112,00,AL,U
36685,10112,00,AL,U
36688,10112,00,AL,U
36689,10112,00,AL,U
36690,10112,00,AL,U
36691,10112,00,AL,U
36693,10112,00,AL,U
36695,10112,00,AL,U
36701,10112,00,AL,R
36702,10112,00,AL,R
36703,10112,00,AL,R
36720,10112,00,AL,B
36721,10112,00,AL,B
36722,10112,00,AL,B
36723,10112,00,AL,B
36726,10112,00,AL,B
36727,10112,00,AL,B
36728,10112,00,AL,B
36732,10112,00,AL,B
36736,10112,00,AL,B
36738,10112,00,AL,B
36740,10112,00,AL,B
36741,10112,00,AL,B
36742,10112,00,AL,B
36744,10112,00,AL,B
36745,10112,00,AL,B
36748,10112,00,AL,B
36749,10112,00,AL,U
36750,10112,00,AL,R
36751,10112,00,AL,B
36752,10112,00,AL,B
36753,10112,00,AL,B
36754,10112,00,AL,B
36756,10112,00,AL,B
36758,10112,00,AL,R
36759,10112,00,AL,R
36761,10112,00,AL,R
36762,10112,00,AL,B
36763,10112,00,AL,B
36764,10112,00,AL,B
36765,10112,00,AL,B
36766,10112,00,AL,B
36767,10112,00,AL,R
